refund_id,order_id,promo_name,product_name,order_time,refund_time,original_quantity,refund_quantity,avg_actual_unit_price,refund_amount,refund_reason
TK202301070004270001,20230107000112344493,年货节,唇釉,2023-01-07 00:01:12.778491,2023-01-07 00:04:27.574559,2,1,82.5,82.5,地址/收件信息需修改
TK202301070032180002,20230107002759276602,年货节,唇釉,2023-01-07 00:27:59.694807,2023-01-07 00:32:18.598927,1,1,90.0,90.0,地址/收件信息需修改
TK202301070115340003,20230107005616919912,年货节,唇釉,2023-01-07 00:56:16.278685,2023-01-07 01:15:34.375874,2,1,82.5,82.5,价格/优惠规则看不懂
TK202301070115370004,20230107004527473466,年货节,唇釉,2023-01-07 00:45:27.157741,2023-01-07 01:15:37.268790,2,2,82.5,165.0,地址/收件信息需修改
TK202301070122470005,20230107012156972660,年货节,唇釉,2023-01-07 01:21:56.050506,2023-01-07 01:22:47.816574,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301070123260006,20230107011210916184,年货节,唇釉,2023-01-07 01:12:10.340452,2023-01-07 01:23:26.717458,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301070128210007,20230107012803416069,年货节,唇釉,2023-01-07 01:28:03.728751,2023-01-07 01:28:21.647081,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301070133070008,20230107005430322543,年货节,唇釉,2023-01-07 00:54:30.520184,2023-01-07 01:33:07.339419,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301070145360009,20230107005609983783,年货节,唇釉,2023-01-07 00:56:09.582564,2023-01-07 01:45:36.631218,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301070152590010,20230107003827464697,年货节,唇釉,2023-01-07 00:38:27.104818,2023-01-07 01:52:59.438172,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301070156220011,20230107005927251964,年货节,唇釉,2023-01-07 00:59:27.647097,2023-01-07 01:56:22.229960,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301070204420012,20230107002911155201,年货节,唇釉,2023-01-07 00:29:11.972798,2023-01-07 02:04:42.074773,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301070227470013,20230107022513796238,年货节,唇釉,2023-01-07 02:25:13.302436,2023-01-07 02:27:47.896332,2,2,82.5,165.0,地址/收件信息需修改
TK202301070232370014,20230107011726182691,年货节,唇釉,2023-01-07 01:17:26.030174,2023-01-07 02:32:37.592491,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301070302480015,20230107023528629408,年货节,唇釉,2023-01-07 02:35:28.605643,2023-01-07 03:02:48.793334,1,1,90.0,90.0,地址/收件信息需修改
TK202301070320460016,20230107031939955893,年货节,唇釉,2023-01-07 03:19:39.296409,2023-01-07 03:20:46.689798,2,1,82.5,82.5,地址/收件信息需修改
TK202301070329460017,20230107032509107409,年货节,唇釉,2023-01-07 03:25:09.871523,2023-01-07 03:29:46.015319,2,2,82.5,165.0,地址/收件信息需修改
TK202301070359040018,20230107035545882104,年货节,唇釉,2023-01-07 03:55:45.017896,2023-01-07 03:59:04.542729,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301070406130019,20230107033450566125,年货节,唇釉,2023-01-07 03:34:50.625405,2023-01-07 04:06:13.217528,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301070406300020,20230107040253984513,年货节,唇釉,2023-01-07 04:02:53.106229,2023-01-07 04:06:30.584816,4,4,87.5,350.0,拍错/改变主意/重复下单
TK202301070419240021,20230107041644326749,年货节,唇釉,2023-01-07 04:16:44.778043,2023-01-07 04:19:24.177559,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301070442510022,20230107040344948981,年货节,唇釉,2023-01-07 04:03:44.586374,2023-01-07 04:42:51.163060,2,1,82.5,82.5,优惠券未领到/不满足门槛
TK202301070443180023,20230107035651828271,年货节,唇釉,2023-01-07 03:56:51.021985,2023-01-07 04:43:18.409321,2,2,82.5,165.0,价格/优惠规则看不懂
TK202301070537090024,20230107053454487065,年货节,唇釉,2023-01-07 05:34:54.043901,2023-01-07 05:37:09.271122,4,4,87.5,350.0,价格/优惠规则看不懂
TK202301070541160025,20230107013040576761,年货节,唇釉,2023-01-07 01:30:40.226830,2023-01-07 05:41:16.223137,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301070546260026,20230107052911517268,年货节,唇釉,2023-01-07 05:29:11.604794,2023-01-07 05:46:26.595212,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301070559440027,20230107050459682571,年货节,唇釉,2023-01-07 05:04:59.792922,2023-01-07 05:59:44.695208,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301070600390028,20230107051419127065,年货节,唇釉,2023-01-07 05:14:19.058814,2023-01-07 06:00:39.310652,1,1,90.0,90.0,忘记使用优惠/凑单重拍
TK202301070607240029,20230107060451292085,年货节,唇釉,2023-01-07 06:04:51.607494,2023-01-07 06:07:24.261824,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301070625250030,20230107062403597400,年货节,唇釉,2023-01-07 06:24:03.228205,2023-01-07 06:25:25.409554,1,1,90.0,90.0,忘记使用优惠/凑单重拍
TK202301070627430031,20230107020254192393,年货节,唇釉,2023-01-07 02:02:54.247418,2023-01-07 06:27:43.309941,3,3,80.0,240.0,其他
TK202301070647440032,20230107063916896668,年货节,唇釉,2023-01-07 06:39:16.794170,2023-01-07 06:47:44.880648,1,1,90.0,90.0,地址/收件信息需修改
TK202301070716560033,20230107051222574449,年货节,唇釉,2023-01-07 05:12:22.085148,2023-01-07 07:16:56.541457,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301070718460034,20230107071737302262,年货节,唇釉,2023-01-07 07:17:37.913020,2023-01-07 07:18:46.555515,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301070721370035,20230107071850137171,年货节,唇釉,2023-01-07 07:18:50.392776,2023-01-07 07:21:37.566732,2,1,82.5,82.5,优惠券未领到/不满足门槛
TK202301070741350036,20230107073712446139,年货节,唇釉,2023-01-07 07:37:12.267187,2023-01-07 07:41:35.663851,2,2,82.5,165.0,地址/收件信息需修改
TK202301070802190037,20230107004358882273,年货节,唇釉,2023-01-07 00:43:58.897458,2023-01-07 08:02:19.278553,2,1,82.5,82.5,优惠券未领到/不满足门槛
TK202301070832110038,20230107081452414757,年货节,唇釉,2023-01-07 08:14:52.581019,2023-01-07 08:32:11.432624,2,2,82.5,165.0,地址/收件信息需修改
TK202301070836230039,20230107083518947146,年货节,唇釉,2023-01-07 08:35:18.405900,2023-01-07 08:36:23.438269,2,1,82.5,82.5,地址/收件信息需修改
TK202301070836510040,20230107061320931290,年货节,唇釉,2023-01-07 06:13:20.401534,2023-01-07 08:36:51.768625,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301070845130041,20230107084203128086,年货节,唇釉,2023-01-07 08:42:03.234001,2023-01-07 08:45:13.388037,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301070851030042,20230107083543839456,年货节,唇釉,2023-01-07 08:35:43.481331,2023-01-07 08:51:03.185517,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301070926210043,20230107092122283198,年货节,唇釉,2023-01-07 09:21:22.493412,2023-01-07 09:26:21.416722,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301070942320044,20230107094009206262,年货节,唇釉,2023-01-07 09:40:09.285629,2023-01-07 09:42:32.207671,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301070951290045,20230107074743854905,年货节,唇釉,2023-01-07 07:47:43.562627,2023-01-07 09:51:29.048920,2,2,82.5,165.0,拍错/改变主意/重复下单
